Index,SectionA,SectionB
1,Prospecting,Propose
2,Prospecting,Propose
3,Prospecting,Propose
4,Prospecting,Propose
5,Prospecting,Propose
6,Prospecting,Propose
7,Prospecting,Propose
8,Prospecting,Propose
9,Prospecting,Propose
10,Prospecting,Propose
11,Prospecting,Propose
12,Prospecting,Propose
13,Prospecting,Propose
14,Prospecting,Propose
15,Prospecting,Propose
16,Prospecting,Propose
17,Prospecting,Propose
18,Prospecting,Propose
19,Prospecting,Propose
20,Propose,Prospecting
21,Propose,Prospecting
22,Propose,Prospecting
23,Propose,Prospecting
24,Propose,Prospecting
25,Propose,Prospecting
26,Propose,Prospecting
27,Propose,Prospecting
28,Propose,Prospecting
29,Propose,Prospecting
30,Propose,Prospecting
31,New,Old
32,Old,New
33,Propose,New
34,Propose,New
35,Propose,New
36,Propose,New
37,Propose,Old
38,Propose,Old
39,Propose,Old
40,Prospecting,New
41,Prospecting,New
42,Prospecting,New
43,Prospecting,Old
44,Prospecting,Old
45,Prospecting,Old
